venue_id,venue_name,city,state,capacity,elevation,latitude,longitude
6086,Rocco Calvo Field,Bethlehem,PA,2000.0,,40.6178915,-75.3786521
5896,Lewis C. Everett Stadium,Farmville,VA,1850.0,,37.3024713,-78.3923813
6143,Golden Bear Stadium,Springfield,MA,1500.0,,42.1018764,-72.5886727
5813,Klein Field at Manitou,Northfield,MN,3500.0,,44.4582041,-93.161159
5797,Vago Field,Aurora,IL,600.0,,41.7571701,-88.3147539
5895,Klas Field,Saint Paul,MN,2000.0,,44.9497487,-93.0931028
5861,Rosenbloom Field,Grinnell,IA,1500.0,,41.7430237,-92.7239637
6121,Donald J. Schneider Stadium,De Pere,WI,2454.0,,44.4493584,-88.0599986
5859,Tucci Stadium,Bloomington,IL,3500.0,,40.4797828,-88.9939147
6145,Blue Jay Stadium,Fulton,MO,2000.0,,38.8467082,-91.9479586
5853,Francis Field (IL),Greenville,IL,2000.0,,38.8922687,-89.4131356
5127,Gene L. Shirk Stadium,Reading,PA,5000.0,,40.335345,-75.9279495
5790,Bahlke Field,Alma,MI,4000.0,,43.37892,-84.659727
5857,Gordon Wood Stadium,Brownwood,TX,7500.0,,31.7070026,-98.9831022
5889,Carpenter-Haygood Stadium,Arkadelphia,AR,9600.0,,34.1209292,-93.053784
5929,Ritchie Field,Castine,ME,1500.0,,44.388164,-68.79982
6231,Lucy Laney Stadium,Augusta,GA,9000.0,,33.4709714,-81.9748429
6097,Patterson Field at Jack Kemp Stadium,Los Angeles,CA,4000.0,,34.0536909,-118.242766
6218,Garrett-Harrison Stadium,Phenix City,AL,10000.0,,32.4709761,-85.0007653
4425,Southwestern Field House,Georgetown,TX,0.0,,30.6326942,-97.6772311
4426,Matador Stadium,Seguin,TX,0.0,,29.5688411,-97.9647269
3818,Malosky Stadium,Duluth,MN,0.0,,46.7729322,-92.1251218
3901,Robert E. Williams Field,Buena Vista,VA,0.0,,37.7342962,-79.3539292
3678,City Stadium (VA),Lynchburg,VA,0.0,,37.4137536,-79.1422464
3767,Indian Bowl,Muskogee,OK,0.0,,35.6630196,-95.3927706
4103,Tiger Stadium (MO),Excelsior Springs,MO,0.0,,39.3417244,-94.2223507
3713,Falcon Stadium,Colorado Springs,CO,46692.0,2024.875732,38.9969701,-104.8436165
3792,Kidd Brewer Stadium,Boone,NC,30000.0,991.3414307,36.2114267,-81.6854278
3619,Arizona Stadium,Tucson,AZ,50782.0,742.1530151,32.2288054,-110.9488677
3625,Centennial Bank Stadium,Jonesboro,AR,30382.0,89.52690887,35.8488977,-90.6677436
3785,Jordan-Hare Stadium,Auburn,AL,87451.0,201.1737976,32.6025532,-85.4897479
3919,Scheumann Stadium,Muncie,IN,22500.0,285.481781,40.2159422,-85.4161148
4727,McLane Stadium,Waco,TX,45140.0,117.0538101,31.5582015,-97.1156702
3653,Albertsons Stadium,Boise,ID,36387.0,823.2221069,43.6028839,-116.1958882
3965,UB Stadium,Amherst,NY,30270.0,181.5759735,42.9991334,-78.7775113
3801,LaVell Edwards Stadium,Provo,UT,63470.0,1412.097046,40.2575347,-111.6545247
3831,California Memorial Stadium,Berkeley,CA,62467.0,125.3108063,37.8710434,-122.2507729
3786,Kelly/Shorts Stadium,Mount Pleasant,MI,30255.0,240.9007721,43.5777313,-84.7709904
4418,Jerry Richardson Stadium,Charlotte,NC,15300.0,190.365509,35.3105033,-80.7401194
3854,Nippert Stadium,Cincinnati,OH,40000.0,230.0660553,39.1312495,-84.5161913
3726,Folsom Field,Boulder,CO,50183.0,1634.041138,40.0094746,-105.266905
5388,Canvas Stadium,Fort Collins,CO,36500.0,1528.4,40.570015,-105.088435
3982,Wallace Wade Stadium,Durham,NC,40004.0,103.0028152,35.9953688,-78.9417564
3699,Dowdy-Ficklen Stadium,Greenville,NC,50000.0,19.0564537,35.5968486,-77.364564
3912,Rynearson Stadium,Ypsilanti,MI,30200.0,241.248764,42.256126,-83.647285
3634,Ben Hill Griffin Stadium,Gainesville,FL,88548.0,44.97250748,29.6499357,-82.3485788
3715,FAU Stadium,Boca Raton,FL,29419.0,3.613628864,26.3763763,-80.1015759
6526,Hancock Whitney Stadium,Mobile,AL,25450.0,,30.6943566,-88.0430541
3700,Doyt L. Perry Stadium,Bowling Green,OH,24000.0,205.9057465,41.3780114,-83.6225
3917,Sanford Stadium,Athens,GA,92746.0,186.1120758,33.9498197,-83.3733813
7220,Clarence T.C. Ching Athletics Complex,Honolulu,HI,9000.0,20,21.294294,-157.819338
3793,Kinnick Stadium,Iowa City,IA,69250.0,220.6357727,41.6586045,-91.5510829
3772,Jack Trice Stadium,Ames,IA,61500.0,274.9135437,42.0139977,-93.6357716
3651,Bridgeforth Stadium,Harrisonburg,VA,24877.0,399.303009,38.4352919,-78.8729349
3833,Memorial Stadium,Lawrence,KS,47000.0,274.855957,38.9629418,-95.2463686
3696,Dix Stadium,Kent,OH,25319.0,321.3641663,41.1390935,-81.31346
3666,Cajun Field,Lafayette,LA,41426.0,3.556508303,30.2158434,-92.0417371
3817,Malone Stadium,Monroe,LA,30427.0,22.998209,32.5308089,-92.0660602
3776,Joe Aillet Stadium,Ruston,LA,28019.0,72.87982941,32.5321487,-92.6560019
3775,Joan C. Edwards Stadium,Huntington,WV,38016.0,163.7328186,38.4247042,-82.4214412
3948,Hard Rock Stadium,Miami Gardens,FL,64767.0,2.624486446,25.9579665,-80.2388604
3996,Yager Stadium,Oxford,OH,24286.0,242.2643585,39.5197009,-84.7330255
3558,Michigan Stadium,Ann Arbor,MI,107601.0,255.5500031,42.2658365,-83.7486956
3936,Spartan Stadium,East Lansing,MI,75005.0,254.8794861,42.7281474,-84.4848526
3693,Davis Wade Stadium,Starkville,MS,61337.0,110.2742081,33.4563403,-88.7933652
3852,Navy-Marine Corps Memorial Stadium,Annapolis,MD,34000.0,10.74990082,38.9846985,-76.5076335
3670,Carter-Finley Stadium,Raleigh,NC,58000.0,117.0089951,35.8008001,-78.7195655
3816,Mackay Stadium,Reno,NV,27000.0,1406.57605,39.5469459,-119.8175435
3601,Aggie Memorial Stadium,Las Cruces,NM,28853.0,1208.201294,32.2796202,-106.7411148
3911,Ryan Field,Evanston,IL,47130.0,181.2376099,42.0653994,-87.6924751
3855,Notre Dame Stadium,Notre Dame,IN,80795.0,222.645401,41.698378,-86.2339425
3876,Peden Stadium,Athens,OH,24000.0,194.230896,39.3212794,-82.1034315
3861,Ohio Stadium,Columbus,OH,102780.0,216.6770325,40.0016447,-83.0197266
3646,Boone Pickens Stadium,Stillwater,OK,55509.0,276.4808655,36.125673,-97.066513
3974,Vaught-Hemingway Stadium,Oxford,MS,64038.0,146.8517151,34.3619837,-89.5342076
3626,Autzen Stadium,Eugene,OR,54000.0,127.4198303,44.0582712,-123.0684883
3893,Reser Stadium,Corvallis,OR,43363.0,66.90744781,44.5594559,-123.2814341
3632,Beaver Stadium,University Park,PA,106572.0,354.1551514,40.8121958,-77.8561023
3907,Ross-Ade Stadium,West Lafayette,IN,57282.0,197.5337677,40.4352253,-86.9186843
3895,Rice Stadium,Houston,TX,47000.0,7.148301601,29.7163297,-95.4093261
6577,SHI Stadium,Piscataway,NJ,52454.0,,40.5462553,-74.4660408
3735,Gerald J. Ford Stadium,University Park,TX,32000.0,169.4058075,32.8377223,-96.7827859
3971,University Stadium (NM),Albuquerque,NM,39224.0,1554.471924,35.0669479,-106.6283225
3994,Williams-Brice Stadium,Columbia,SC,80250.0,60.54548645,33.9730239,-81.0191726
3815,M. M. Roberts Stadium,Hattiesburg,MS,36000.0,64.52726746,31.3289321,-89.3318118
3886,Raymond James Stadium,Tampa,FL,65828.0,11.07972908,27.9758691,-82.5033344
3940,Stanford Stadium,Stanford,CA,50424.0,18.38425636,37.4345556,-122.1611271
3616,Amon G. Carter Stadium,Fort Worth,TX,46000.0,185.4387054,32.7096604,-97.3680835
3806,Lincoln Financial Field,Philadelphia,PA,69879.0,3.198706865,39.9007995,-75.1675414
3853,Neyland Stadium,Knoxville,TN,102455.0,271.9517212,35.9550131,-83.9250128
3795,Kyle Field,College Station,TX,102733.0,108.824585,30.6098891,-96.3403828
3784,Jones AT&T Stadium,Lubbock,TX,60454.0,980.7632446,33.5910518,-101.8728824
3739,Glass Bowl,Toledo,OH,26038.0,181.4839783,41.6574777,-83.6135652
7221,Protective Stadium,Birmingham,AL,0.0,,33.5206824,-86.8024326
1056,Rose Bowl,Pasadena,CA,88565.0,245.1772461,34.1613284,-118.1676462
3985,Warren McGuirk Alumni Stadium,Hadley,MA,17000.0,46.58664703,42.3773244,-72.5360595
6501,Allegiant Stadium,Las Vegas,NV,65000.0,,36.1672559,-115.1485163
477,Los Angeles Memorial Coliseum,Los Angeles,CA,77500.0,42.50374222,34.014167,-118.287778
3604,Alamodome,San Antonio,TX,36582.0,201.5526886,29.4169834,-98.4788143
3923,Scott Stadium,Charlottesville,VA,61500.0,170.4677429,38.0311801,-78.5137897
3799,Lane Stadium,Blacksburg,VA,65632.0,632.2631226,37.2199873,-80.4180643
3765,Husky Stadium,Seattle,WA,70138.0,11.65622807,47.6503235,-122.3015746
3980,Waldo Stadium,Kalamazoo,MI,30200.0,243.8211212,42.2860064,-85.6007573
347,Camp Randall Stadium,Madison,WI,80321.0,263.604126,43.06994,-89.4126943
3984,War Memorial Stadium,Laramie,WY,29181.0,2200.153564,41.31161,-105.5681384
7311,Snapdragon Stadium,San Diego,CA,35000.0,62,32.784444,-117.122833
587,Rice-Eccles Stadium,Salt Lake City,UT,51444.0,1411.543579,40.7599724,-111.8488255
3630,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,31500.0,283.548584,36.1305507,-80.2545851
3652,FBC Mortgage Stadium,Orlando,FL,44206.0,20.94113731,28.6079765,-81.1927233
4729,Yulman Stadium,New Orleans,LA,30000.0,0.0000000000000000000000000000000000000118,29.944616,-90.116692
3674,Chapman Stadium,Tulsa,OK,30000.0,235.5928345,36.1489175,-95.9437853
3910,DKR-Texas Memorial Stadium,Austin,TX,100119.0,160.3089447,30.2836813,-97.7325345
3842,Milan Puskar Stadium,Morgantown,WV,60000.0,327.409668,39.6502744,-79.9551873
3973,FirstBank Stadium,Nashville,TN,40351.0,159.9194641,36.1440455,-86.8088942
3820,Gesa Field,Pullman,WA,32952.0,773.9526367,46.731831,-117.1604991
1964,JMA Wireless Dome,Syracuse,NY,49057.0,162.6989746,43.0362269,-76.1363161
3975,Veterans Memorial Stadium (AL),Troy,AL,30000.0,154.7746277,31.7995565,-85.9518328
3905,Maverik Stadium,Logan,UT,25513.0,1427.914429,41.7517394,-111.8116007
3644,Bobcat Stadium (TX),San Marcos,TX,30000.0,177.8676453,29.8910008,-97.9255735
3796,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY,22113.0,154.4346619,36.9847901,-86.4594041
3946,Sun Bowl,El Paso,TX,51500.0,1183.697876,31.7733353,-106.507957
7521,Dacotah Bank Stadium,Aberdeen,SD,0.0,,,
7522,Glynn County Stadium,Brunswick,GA,0.0,,,
7555,Wildcat Football Stadium,Marion,IN,4000.0,,,
5960,Lanny and Sharon Martin Stadium,Evanston,IL,,,,
3900,Riverbank Stadium,Ann Arbor,MI,,,,
3637,Bishop John M. D'Arcy Stadium,Fort Wayne,IN,,,,
3789,Kentucky Christian,Grayson,KY,,,,
2031,Pitbull Stadium,Miami,FL,,,,
10461,Spero Financial Field,Anderson,SC,,,,
10463,Grand Rapids Christian High School,Grand Rapids,MI,,,,
10465,Mayo Field,Shreveport,LA,,,,
3844,Morris Field,Chicago,IL,,,,
3838,Memorial Stadium,Columbia,MO,71168.0,212.6865692,38.9358491,-92.3332009
3953,Huntington Bank Stadium,Minneapolis,MN,50850.0,254.3902283,44.976525,-93.2245462
3832,"Memorial Stadium (Champaign, IL)",Champaign,IL,60670.0,223.2471619,40.0993268,-88.2359569
3935,CEFCU Stadium,San Jose,CA,30456.0,28.30708694,37.3196675,-121.8682962
3835,"Memorial Stadium (Norman, OK)",Norman,OK,86112.0,355.0962524,35.2058537,-97.4423145
3841,Michie Stadium,West Point,NY,38000.0,99.21277618,41.3874924,-73.9640891
3657,Bryant-Denny Stadium,Tuscaloosa,AL,101821.0,70.05136108,33.2082752,-87.5503836
3636,Bill Snyder Family Stadium,Manhattan,KS,50000.0,328.0574646,39.2020096,-96.5938395
3665,SECU Stadium,College Park,MD,51802.0,32.68748093,38.9903332,-76.9473792
3873,L&N Federal Credit Union Stadium,Louisville,KY,60000.0,138.5615997,38.2057621,-85.7588141
3752,Acrisure Stadium,Pittsburgh,PA,68400.0,220.5887146,40.4467648,-80.0157603
3830,"Memorial Stadium (Bloomington, IN)",Bloomington,IN,52656.0,231.6500854,39.1808959,-86.5256217
3834,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,85458.0,354.9318848,40.820682,-96.705594
3764,Huskie Stadium,DeKalb,IL,23595.0,267.4530029,41.9339586,-88.7778357
3608,Allen E. Paulson Stadium,Statesboro,GA,25000.0,61.25376892,32.4122471,-81.7849296
3992,Williams Stadium (VA),Lynchburg,VA,25000.0,272.9237061,37.3544305,-79.1750239
4728,TDECU Stadium,Houston,TX,40000.0,9.57440567,29.7219885,-95.3491623
3725,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,30788.0,191.7279816,35.8511463,-86.3681649
3805,Simmons Bank Liberty Stadium,Memphis,TN,58325.0,90.62445831,35.1209429,-89.977147
3683,Kroger Field,Lexington,KY,61000.0,307.4248962,38.0220905,-84.5053408
721,Bobby Dodd Stadium,Atlanta,GA,55000.0,279.300415,33.7724449,-84.3928054
3947,Mountain America Stadium,Tempe,AZ,65870.0,360.1569519,33.4264471,-111.9325005
3892,Pratt & Whitney Stadium,East Hartford,CT,40000.0,6.515614986,41.7595675,-72.6187728
3615,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,44500.0,39.82634354,42.335104,-71.1664413
3787,Kenan Stadium,Chapel Hill,NC,50500.0,127.7569809,35.9069294,-79.0478889
3918,S.B. Ballard Stadium,Norfolk,VA,20118.0,3.147987843,36.8889533,-76.3049175
3654,Brooks Stadium (SC),Conway,SC,21000.0,13.74894905,33.7928506,-79.0166946
4246,Center Parc Stadium,Atlanta,GA,25000.0,287,33.735267,-84.389949
4899,Fifth Third Stadium,Kennesaw,GA,8318.0,296.9589844,34.0289318,-84.5676234
3958,Tiger Stadium (LA),Baton Rouge,LA,102321.0,7.640734673,30.412035,-91.1838163
3825,DATCU Stadium,Denton,TX,30850.0,198.6871948,33.203899,-97.159245
3836,"Memorial Stadium (Clemson, SC)",Clemson,SC,81500.0,205.6452179,34.6787737,-82.8432428
3660,Valley Children's Stadium,Fresno,CA,41031.0,102.564064,36.8143527,-119.7580092
3887,Razorback Stadium,Fayetteville,AR,80000.0,403.7972412,36.0680662,-94.1789534
3622,GEHA Field at Arrowhead Stadium,Kansas City,MO,76416.0,256.798584,39.048889,-94.483889
10803,Pen-Air Field,Pensacola,FL,,,,
10460,Betty T. Ferguson Recreational Complex,Miami Gardens,FL,,,,
6006,Robert and Janet Vackar Stadium,Edinburg,TX,,,,
3697,Doak Campbell Stadium,Tallahassee,FL,67277.0,19.55942535,30.4381692,-84.3044032
